Количество дней со среднесуточной температурой ниже 0°С_в следующем месяце,Сумма максимальных температур,Количество дней со среднесуточной температурой выше 0°С_в следующем месяце,Среднее изменение суточного количества осадков_6 месяцев назад,Количество дней со среднесуточной температурой ниже 0°С_1 месяц назад,Сумма квадратов положительных температур_2 месяца назад,mean_temp_amplitude_3 месяца назад,Сумма максимальных температур_в следующем месяце,Минимальная температура_1 месяц назад,Сумма квадратов отрицательных температур_5 месяца назад,Средняя температура,Сумма минимальных температур,mean_temp_amplitude_2 месяца назад,mean_temp_amplitude,Сумма квадратов среднесуточных температур_5 месяца назад,Сумма максимальных температур_1 месяц назад,Сумма квадратов отрицательных температур_1 месяц назад,Сумма отрицательных температур_в следующем месяце,Сумма квадратов положительных температур_в следующем месяце,Сумма квадратов положительных температур_1 месяц назад,Сумма отрицательных температур_1 месяц назад,Максимальная температура_1 месяц назад,Количество дней с суточными осадками более 10 мм_2 месяца назад,Сумма квадратов среднесуточных температур_1 месяц назад,mean_temp_amplitude_5 месяца назад,Сумма квадратов отрицательных температур_в следующем месяце,Максимальная температура,Сумма отрицательных температур,Минимальная температура_в следующем месяце,Сумма минимальных температур_1 месяц назад,Сумма квадратов отрицательных температур,Сумма квадратов среднесуточных температур,Среднее изменение суточного количества осадков_4 месяца назад,Сумма положительных температур,Сумма положительных температур_2 месяца назад,Максимальное количество осадков_2 месяца назад,Среднее изменение суточного количества осадков_2 месяца назад,Количество дней с суточными осадками более 1 мм_6 месяцев назад,Среднее изменение суточного количества осадков_в следующем месяце,ij_1,Среднее изменение суточного количества осадков_3 месяца назад,Количество дней со среднесуточной температурой выше 0°С_2 месяца назад,Количество дней с среднесуточной отрицательной температурой и наличием осадков_в следующем месяце,Средняя температура_в следующем месяце,Сумма положительных температур_в следующем месяце,mean_temp_amplitude_1 месяц назад,Среднее изменение суточного количества осадков_7 месяцев назад,Сумма осадков_7 месяцев назад,Сумма минимальных температур_в следующем месяце,Минимальная температура,Сумма положительных температур_1 месяц назад,Разница между максимальной и минимальной температурой _в следующем месяце,Количество дней с среднесуточной отрицательной температурой и наличием осадков_3 месяца назад,Разница между максимальной и минимальной температурой _5 месяца назад,Количество дней с суточными осадками более 10 мм_7 месяцев назад,Максимальная температура_в следующем месяце,mean_temp_amplitude_6 месяцев назад,Сумма квадратов суточного количества осадков_4 месяца назад,Сумма квадратов среднесуточных температур_6 месяцев назад,Количество дней со среднесуточной температурой ниже 0°С_4 месяца назад,Разница между максимальной и минимальной температурой _6 месяцев назад,Средняя температура_1 месяц назад
31.0,-238.4,2.0,-0.1,31.0,0.0,7.54,-343.9,-15.380645161290325,1.6900000000000002,-11.828571428571427,-468.8,7.090322580645162,8.22857142857143,1570.04,-228.1,4706.26,-503.19999999999993,0.0,0.09,-339.00000000000006,-7.358064516129032,0.0,4706.349999999999,6.783333333333333,11025.559999999998,-8.514285714285714,-331.20000000000005,-21.89354838709677,-476.8,4706.559999999999,4706.559999999999,-7.401486830834377e-18,0.0,0.0,6.0,0.0033333333333333,7.0,-0.0233333333333333,0.0,-0.3517241379310344,0.0,19.0,-16.232258064516127,0.0,8.02258064516129,-0.1766666666666667,31.6,-678.7,-16.742857142857144,0.3,48.2,24.0,23.7,1.0,-11.093548387096773,7.009677419354839,239.52,2154.48,20.0,24.5,-10.925806451612903
29.0,-343.9,6.0,-0.1103448275862068,28.0,0.09,7.090322580645162,-148.8,-16.742857142857144,351.09000000000003,-16.232258064516127,-678.7,8.02258064516129,10.8,578.5300000000001,-238.4,4706.559999999999,-325.79999999999995,3.24,0.0,-331.20000000000005,-8.514285714285714,0.0,4706.559999999999,4.987096774193549,4597.299999999999,-11.093548387096773,-503.19999999999993,-16.41,-468.8,11025.559999999998,11025.559999999998,-0.3517241379310344,0.0,0.3,5.8,-0.0699999999999999,9.0,0.2448275862068965,0.0,0.0033333333333333,2.0,19.0,-10.8,1.8,8.22857142857143,-0.1,43.2,-492.3,-21.89354838709677,0.0,39.1,30.0,19.700000000000003,0.0,-4.96,6.783333333333333,319.96,1570.04,27.0,23.7,-11.828571428571427
29.0,-148.8,24.0,-7.401486830834377e-18,31.0,0.0,8.02258064516129,41.9,-21.89354838709677,5228.300000000001,-10.8,-492.3,8.22857142857143,11.45,5244.88,-343.9,11025.559999999998,-72.9,48.5,0.0,-503.19999999999993,-11.093548387096773,0.0,11025.559999999998,7.54,326.33,-4.96,-325.79999999999995,-4.861290322580645,-678.7,4597.299999999999,4600.54,0.0033333333333333,1.8,0.0,3.3,0.037037037037037,11.0,-0.1099999999999999,0.0,-0.0699999999999999,1.0,13.0,-1.964516129032258,12.0,10.8,-0.1103448275862068,44.9,-150.7,-16.41,0.0,24.8,28.0,38.5,2.0,1.3516129032258064,4.987096774193549,119.15,578.5300000000001,31.0,19.700000000000003,-16.232258064516127
7.0,41.9,30.0,-0.3517241379310344,29.0,0.0,8.22857142857143,466.1,-16.41,6022.77,-1.964516129032258,-150.7,10.8,6.212903225806452,6022.77,-148.8,4597.299999999999,-3.0,3515.91,3.24,-325.79999999999995,-4.96,0.0,4600.54,7.090322580645162,5.340000000000001,1.3516129032258064,-72.9,4.473333333333333,-492.3,326.33,374.83,-0.0699999999999999,12.0,0.0,3.3,-0.0233333333333333,20.0,-0.6896551724137931,0.0,0.037037037037037,2.0,1.0,8.883333333333333,269.5,11.45,-7.401486830834377e-18,44.6,134.2,-4.861290322580645,1.8,34.5,19.0,28.7,0.0,15.536666666666669,7.54,105.98,5244.88,31.0,38.5,-10.8
0.0,466.1,31.0,0.0033333333333333,29.0,3.24,10.8,551.4,-4.861290322580645,4706.26,8.883333333333333,134.2,11.45,11.063333333333333,4706.349999999999,41.9,326.33,0.0,5434.98,48.5,-72.9,1.3516129032258064,0.0,374.83,8.02258064516129,0.0,15.536666666666669,-3.0,8.712903225806452,-150.7,5.340000000000001,3521.25,0.037037037037037,269.5,1.8,7.1,0.2448275862068965,19.0,-0.3599999999999999,0.0,-0.0233333333333333,6.0,0.0,12.825806451612904,397.6000000000001,6.212903225806452,-0.3517241379310344,65.0,270.1,4.473333333333333,12.0,23.5,19.0,33.1,2.0,17.787096774193547,7.090322580645162,35.01,6022.77,28.0,28.7,-1.964516129032258
0.0,551.4,31.0,-0.0699999999999999,7.0,48.5,11.45,592.9,4.473333333333333,4706.559999999999,12.825806451612904,270.1,6.212903225806452,9.074193548387097,4706.559999999999,466.1,5.340000000000001,0.0,6923.19,3515.91,-3.0,15.536666666666669,1.0,3521.25,8.22857142857143,0.0,17.787096774193547,0.0,10.9,134.2,0.0,5434.979999999999,-0.0233333333333333,397.6000000000001,12.0,18.6,-0.1099999999999999,15.0,-0.0266666666666665,0.0,0.2448275862068965,24.0,0.0,14.403225806451612,446.5,11.063333333333333,0.0033333333333333,45.1,337.9,8.712903225806452,269.5,23.9,19.0,29.6,0.0,19.125806451612902,8.02258064516129,32.61,4706.349999999999,31.0,33.1,8.883333333333333
7.0,592.9,30.0,0.037037037037037,0.0,3515.91,6.212903225806452,269.1,8.712903225806452,11025.559999999998,14.403225806451612,337.9,11.063333333333333,8.225806451612904,11025.559999999998,551.4,0.0,0.0,1292.8399999999997,5434.98,0.0,17.787096774193547,4.0,5434.979999999999,10.8,0.0,19.125806451612902,0.0,3.2266666666666666,270.1,0.0,6923.19,0.2448275862068965,446.5,269.5,20.0,-0.6896551724137931,6.0,0.4413793103448276,0.0,-0.1099999999999999,30.0,0.0,5.846666666666667,175.4,9.074193548387097,-0.0699999999999999,40.6,96.8,10.9,397.6000000000001,21.4,13.0,48.2,0.0,8.97,8.22857142857143,112.82,4706.559999999999,29.0,29.6,12.825806451612904
11.0,269.1,27.0,-0.0233333333333333,0.0,5434.98,11.063333333333333,180.6,10.9,4597.299999999999,5.846666666666667,96.8,9.074193548387097,5.743333333333333,4600.54,592.9,0.0,-39.8,1017.9,6923.19,0.0,19.125806451612902,2.0,6923.19,11.45,339.98,8.97,0.0,0.5419354838709677,337.9,0.0,1292.84,-0.1099999999999999,175.4,397.6000000000001,29.5,-0.3599999999999999,6.0,-0.3366666666666667,0.0,-0.6896551724137931,31.0,4.0,3.083870967741935,135.39999999999998,8.225806451612904,0.037037037037037,18.7,16.799999999999997,3.2266666666666666,446.5,33.5,1.0,39.1,0.0,5.825806451612903,10.8,481.7000000000001,11025.559999999998,29.0,48.2,14.403225806451612
28.0,180.6,6.0,0.2448275862068965,7.0,6923.19,9.074193548387097,-67.3,3.2266666666666666,326.33,3.083870967741935,16.799999999999997,8.225806451612904,5.283870967741936,374.83,269.1,0.0,-135.3,8.5,1292.8399999999997,0.0,8.97,3.0,1292.84,6.212903225806452,907.07,5.825806451612903,-39.8,-7.260000000000001,96.8,339.98,1357.88,-0.6896551724137931,135.39999999999998,446.5,24.3,-0.0266666666666665,10.0,-0.0586206896551724,0.0,-0.3599999999999999,31.0,16.0,-4.3566666666666665,4.6,5.743333333333333,-0.0233333333333333,18.3,-217.8,0.5419354838709677,175.4,18.1,0.0,24.8,0.0,-2.243333333333333,11.45,1099.79,4600.54,7.0,39.1,5.846666666666667
31.0,-67.3,3.0,-0.1099999999999999,11.0,1292.8399999999997,8.225806451612904,-183.3,0.5419354838709677,5.340000000000001,-4.3566666666666665,-217.8,5.743333333333333,5.016666666666667,3521.25,180.6,339.98,-313.8,0.0,1017.9,-39.8,5.825806451612903,1.0,1357.88,11.063333333333333,4912.08,-2.243333333333333,-135.3,-14.52258064516129,16.799999999999997,907.07,915.57,-0.3599999999999999,4.6,175.4,13.4,0.4413793103448276,8.0,-0.0699999999999999,0.0,-0.0266666666666665,30.0,25.0,-10.12258064516129,0.0,5.283870967741936,0.2448275862068965,31.8,-450.2,-7.260000000000001,135.39999999999998,36.0,0.0,34.5,0.0,-5.912903225806452,6.212903225806452,1125.52,374.83,0.0,24.8,3.083870967741935
31.0,-183.3,2.0,-0.6896551724137931,28.0,1017.9,5.743333333333333,-598.6,-7.260000000000001,0.0,-10.12258064516129,-450.2,5.283870967741936,8.609677419354838,5434.979999999999,-67.3,907.07,-744.5999999999999,0.0,8.5,-135.3,-2.243333333333333,1.0,915.57,9.074193548387097,20256.50000000001,-5.912903225806452,-313.8,-28.41935483870968,-217.8,4912.08,4912.080000000001,-0.0266666666666665,0.0,135.39999999999998,12.8,-0.3366666666666667,13.0,0.0066666666666666,0.0,0.4413793103448276,27.0,18.0,-24.01935483870968,0.0,5.016666666666667,-0.1099999999999999,52.0,-881.0,-14.52258064516129,4.6,42.9,0.0,23.5,1.0,-19.30967741935484,11.063333333333333,1294.02,3521.25,0.0,34.5,-4.3566666666666665
28.0,-598.6,2.0,-0.3599999999999999,31.0,8.5,5.283870967741936,-294.2,-14.52258064516129,0.0,-24.01935483870968,-881.0,5.016666666666667,9.109677419354838,6923.19,-183.3,4912.08,-457.6,0.0,0.0,-313.8,-5.912903225806452,0.0,4912.080000000001,8.225806451612904,10116.22,-19.30967741935484,-744.5999999999999,-22.09642857142857,-450.2,20256.50000000001,20256.500000000004,0.4413793103448276,0.0,4.6,4.4,-0.0586206896551724,7.0,-0.0777777777777777,0.0,-0.3366666666666667,6.0,24.0,-16.342857142857145,0.0,8.609677419354838,-0.6896551724137931,103.1,-618.7,-28.41935483870968,0.0,43.0,4.0,23.9,4.0,-10.507142857142856,9.074193548387097,322.77,5434.979999999999,7.0,23.5,-10.12258064516129
31.0,-294.2,0.0,-0.0266666666666665,31.0,0.0,5.016666666666667,-324.5,-28.41935483870968,0.0,-16.342857142857145,-618.7,8.609677419354838,11.589285714285714,1292.84,-598.6,20256.50000000001,-491.3,0.0,0.0,-744.5999999999999,-19.30967741935484,0.0,20256.500000000004,5.743333333333333,9764.349999999997,-10.507142857142856,-457.6,-20.983870967741936,-881.0,10116.22,10116.22,-0.3366666666666667,0.0,0.0,6.9,-0.0699999999999999,15.0,-0.0299999999999999,0.0,-0.0586206896551724,3.0,20.0,-15.848387096774196,0.0,9.109677419354838,-0.3599999999999999,64.8,-650.5,-22.09642857142857,0.0,38.4,16.0,21.4,2.0,-10.46774193548387,8.225806451612904,278.39,6923.19,11.0,23.9,-24.01935483870968
24.0,-324.5,18.0,0.4413793103448276,28.0,0.0,8.609677419354838,-0.7999999999999972,-22.09642857142857,339.98,-15.848387096774196,-650.5,9.109677419354838,10.516129032258064,1357.88,-294.2,10116.22,-160.70000000000002,84.21000000000001,0.0,-457.6,-10.507142857142856,0.0,10116.22,5.283870967741936,2396.57,-10.46774193548387,-491.3,-8.32,-618.7,9764.349999999997,9764.35,-0.0586206896551724,0.0,0.0,3.5,0.0066666666666666,9.0,-0.0103448275862069,0.0,-0.0699999999999999,2.0,8.0,-4.3933333333333335,28.9,11.589285714285714,-0.0266666666666665,98.0,-249.6,-20.983870967741936,0.0,34.6,25.0,33.5,3.0,-0.0266666666666665,5.743333333333333,63.52,1292.84,28.0,21.4,-16.342857142857145
17.0,-0.7999999999999972,28.0,-0.3366666666666667,31.0,0.0,9.109677419354838,247.5,-20.983870967741936,907.07,-4.3933333333333335,-249.6,11.589285714285714,8.293333333333333,915.57,-324.5,9764.349999999997,-15.7,638.87,0.0,-491.3,-10.46774193548387,0.0,9764.35,5.016666666666667,49.010000000000005,-0.0266666666666665,-160.70000000000002,-0.6419354838709677,-650.5,2396.57,2480.78,-0.0699999999999999,28.9,0.0,5.8,-0.0777777777777777,12.0,0.0166666666666664,0.0,0.0066666666666666,2.0,5.0,2.935483870967742,106.69999999999996,10.516129032258064,0.4413793103448276,46.3,-19.9,-8.32,0.0,22.8,18.0,18.1,1.0,7.983870967741935,5.283870967741936,202.18000000000004,1357.88,31.0,33.5,-15.848387096774196
9.0,247.5,30.0,-0.0586206896551724,24.0,0.0,11.589285714285714,312.9,-8.32,4912.08,2.935483870967742,-19.9,10.516129032258064,8.625806451612902,4912.080000000001,-0.7999999999999972,2396.57,-4.8,1711.61,84.21000000000001,-160.70000000000002,-0.0266666666666665,0.0,2480.78,8.609677419354838,5.86,7.983870967741935,-15.7,2.7466666666666666,-249.6,49.010000000000005,687.88,0.0066666666666666,106.69999999999996,0.0,5.2,-0.0299999999999999,8.0,-0.0137931034482758,0.0,-0.0777777777777777,0.0,3.0,5.77,177.9,8.293333333333333,-0.3366666666666667,49.3,82.39999999999999,-0.6419354838709677,28.9,28.3,24.0,36.0,1.0,10.43,5.016666666666667,52.23,915.57,31.0,18.1,-4.3933333333333335
0.0,312.9,31.0,-0.0699999999999999,17.0,84.21000000000001,10.516129032258064,609.7,-0.6419354838709677,20256.50000000001,5.77,82.39999999999999,8.293333333333333,7.683333333333334,20256.500000000004,247.5,49.010000000000005,0.0,6598.950000000001,638.87,-15.7,7.983870967741935,2.0,687.88,9.109677419354838,0.0,10.43,-4.8,9.474193548387095,-19.9,5.86,1717.47,-0.0777777777777777,177.9,28.9,11.5,-0.0103448275862069,18.0,-2.3684757858670006e-16,0.0,-0.0299999999999999,18.0,0.0,13.764516129032256,426.7000000000001,8.625806451612902,-0.0586206896551724,24.6,293.7,2.7466666666666666,106.69999999999996,28.4,20.0,42.9,0.0,19.66774193548387,8.609677419354838,227.61,4912.080000000001,28.0,36.0,2.935483870967742
0.0,609.7,31.0,0.0066666666666666,9.0,638.87,8.293333333333333,368.9,2.7466666666666666,10116.22,13.764516129032256,293.7,8.625806451612902,10.193548387096774,10116.22,312.9,5.86,0.0,2234.3,1711.61,-4.8,10.43,2.0,1717.47,11.589285714285714,0.0,19.66774193548387,0.0,5.22258064516129,82.39999999999999,0.0,6598.95,-0.0299999999999999,426.7000000000001,106.69999999999996,26.7,0.0166666666666664,10.0,-0.0099999999999999,0.0,-0.0103448275862069,28.0,0.0,8.012903225806452,248.4000000000001,7.683333333333334,-0.0699999999999999,56.0,161.9,9.474193548387095,177.9,19.5,8.0,43.0,0.0,11.9,9.109677419354838,57.870000000000005,20256.500000000004,31.0,42.9,5.77
6.0,368.9,30.0,-0.0777777777777777,0.0,1711.61,8.625806451612902,286.7,9.474193548387095,9764.349999999997,8.012903225806452,161.9,7.683333333333334,6.67741935483871,9764.35,609.7,0.0,0.0,1344.48,6598.950000000001,0.0,19.66774193548387,0.0,6598.95,10.516129032258064,0.0,11.9,0.0,2.7633333333333336,293.7,0.0,2234.3,-0.0103448275862069,248.4000000000001,177.9,8.1,-0.0137931034482758,18.0,-0.0137931034482758,0.0,0.0166666666666664,30.0,0.0,5.8933333333333335,176.8,10.193548387096774,0.0066666666666666,25.5,82.9,5.22258064516129,426.7000000000001,21.5,5.0,38.4,0.0,9.556666666666668,11.589285714285714,300.52,10116.22,24.0,43.0,13.764516129032256
31.0,286.7,7.0,-0.0299999999999999,0.0,6598.950000000001,7.683333333333334,-113.7,5.22258064516129,2396.57,5.8933333333333335,82.9,10.193548387096774,6.793333333333334,2480.78,368.9,0.0,-200.3,0.0,2234.3,0.0,11.9,3.0,2234.3,8.293333333333333,1892.9700000000005,9.556666666666668,0.0,-9.661290322580646,161.9,0.0,1344.48,0.0166666666666664,176.8,426.7000000000001,29.9,-2.3684757858670006e-16,9.0,0.1699999999999999,0.0,-0.0137931034482758,31.0,17.0,-6.461290322580646,0.0,6.67741935483871,-0.0777777777777777,61.3,-299.5,2.7633333333333336,248.4000000000001,25.2,3.0,34.6,0.0,-3.667741935483871,10.516129032258064,1158.92,9764.35,17.0,38.4,8.012903225806452
26.0,-113.7,14.0,-0.0103448275862069,6.0,2234.3,10.193548387096774,-90.2,2.7633333333333336,49.010000000000005,-6.461290322580646,-299.5,6.67741935483871,5.993548387096775,687.88,286.7,0.0,-166.5,8.53,1344.48,0.0,9.556666666666668,1.0,1344.48,8.625806451612902,2191.05,-3.667741935483871,-200.3,-8.056666666666667,82.9,1892.9700000000005,1892.9700000000005,-0.0137931034482758,0.0,248.4000000000001,13.1,-0.0099999999999999,8.0,-0.0793103448275861,0.0,-2.3684757858670006e-16,31.0,16.0,-5.326666666666667,6.7,6.793333333333334,-0.0299999999999999,24.1,-241.7,-9.661290322580646,176.8,28.5,0.0,22.8,0.0,-3.006666666666667,8.293333333333333,344.35,2480.78,9.0,34.6,5.8933333333333335
